id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
554174,jneil-bennett,22.0,3,1,3,-,-,1.320',,
75067,liam-cooper,22.0,-,1,5,-,-,1.846',,
655987,james-balagizi,28.0,3,3,2,-,-,1.986',,
261504,aleix-garcia,45.0,1,5,8,-,-,3.571',,
202886,ruben-loftus-cheek,40.0,1,5,3,-,-,2.158',,
559794,jack-clarke,39.0,5,9,9,-,-,2.765',,
392771,ethan-ampadu,30.0,-,3,13,1,1,2.378',,
75287,seydou-doumbia,,,,,,,,,
396286,ethan-hamilton,47.0,8,2,9,-,-,3.870',,
474701,crysencio-summerville,23.0,7,1,3,-,-,1.050',,
73482,james-chester,22.0,-,2,1,-,-,1.879',,
340320,marcus-mcguane,35.0,1,1,2,-,-,1.671',,
339556,rico-henry,37.0,3,-,2,-,-,2.958',,
365172,patson-daka,38.0,11,4,2,-,-,1.981',,
571743,armando-broja,38.0,9,1,2,-,-,2.335',,
10503,uwe-hunemeier,30.0,-,2,6,-,1,2.559',,
327755,jaroslaw-jach,4.0,-,-,2,-,-,360',,
447661,douglas-luiz,35.0,2,3,7,-,-,2.812',,
282429,sergio-reguilon,31.0,2,3,4,-,-,2.274',,
45760,marco-stiepermann,16.0,3,-,2,-,-,431',,
85177,nathaniel-clyne,22.0,-,1,1,-,-,1.730',,
614700,dara-costelloe,22.0,7,2,6,-,-,1.457',,
502073,taylor-perry,26.0,3,2,1,-,-,1.827',,
79027,davy-propper,16.0,1,1,1,-,-,519',,
